scheme,model,scan_rule,direction,tau,calibration_clips,calibration_groups,shared_source_groups,fitting_visited_count,fitting_visited_errors,fitting_actual_count,fitting_actual_errors,fitting_actual_risk,fitting_tie_expansion,fitting_actual_meets_target,clips,source_groups,N,B,A,E,admitted_clips,zero_retained_clips,risk_pass_clips,joint_pass_clips,high_risk_clips,under_half_coverage_clips,pooled_risk,pooled_risk_ci_lower,pooled_risk_ci_upper,pooled_risk_bootstrap_valid,retention,retention_ci_lower,retention_ci_upper,retention_bootstrap_valid,joint_fraction,joint_fraction_ci_lower,joint_fraction_ci_upper,joint_fraction_bootstrap_valid,compliance_admitted,compliance_admitted_ci_lower,compliance_admitted_ci_upper,compliance_admitted_bootstrap_valid,mean_clip_risk,mean_clip_risk_ci_lower,mean_clip_risk_ci_upper,mean_clip_risk_bootstrap_valid,fitting
historical_clip,PraNet,full_tie_groups,B,0.905745,86,53,41,99818,9981,99818,9981,0.09999198541345249,0,True,87,57,120600,26300,104973,10673,87,0,62,62,25,7,0.10167376372972098,0.06687998763305503,0.1412995856442576,2000,0.8704228855721393,0.7994484328107854,0.9284843089766681,2000,0.7126436781609196,0.5921052631578947,0.8295514990328821,2000,0.7126436781609196,0.5921052631578947,0.8295514990328821,2000,0.1476352258760543,0.08822571058780593,0.21914395737146422,2000,
historical_clip,PraNet,full_tie_groups,both,,,,,,,,,,,,173,69,236736,52599,204601,20464,173,0,125,125,48,17,0.10001906149041305,0.06742562388934424,0.1431212045273412,2000,0.8642580765071641,0.7943591602550765,0.9163046202926666,2000,0.7225433526011561,0.6104651162790697,0.8228649825783971,2000,0.7225433526011561,0.6104651162790697,0.8228649825783971,2000,0.15683178234988157,0.09645755780151781,0.23321308631632634,2000,
historical_clip,UACANet,prefix,A,0.901741,87,57,41,110057,11005,110057,11005,0.0999936396594492,0,True,86,53,116136,22842,104251,10957,86,0,63,63,23,6,0.10510210933228459,0.06562203304047934,0.1571163945414009,2000,0.8976630846593648,0.847763584458567,0.9378845486946781,2000,0.7325581395348837,0.6097560975609756,0.8395291568163907,2000,0.7325581395348837,0.6097560975609756,0.8395291568163907,2000,0.15324746600412587,0.08875369003529852,0.234644516066613,2000,
historical_clip,UACANet,prefix,B,0.874171,86,53,41,103660,10366,103660,10366,0.1,0,True,87,57,120600,21548,109504,10452,87,0,64,64,23,5,0.09544856808883694,0.05658160540242713,0.13931447563472885,2000,0.9079933665008292,0.86144939656491,0.9485857738077755,2000,0.735632183908046,0.625,0.8404376208897485,2000,0.735632183908046,0.625,0.8404376208897485,2000,0.1269290838796269,0.07386210858809127,0.18694606114021536,2000,
historical_clip,UACANet,prefix,both,,,,,,,,,,,,173,69,236736,44390,213755,21409,173,0,127,127,46,11,0.10015672148019929,0.06274019894942104,0.14744744186455375,2000,0.9029256217896728,0.8562961015564086,0.940178829637647,2000,0.7341040462427746,0.6290297220531548,0.8294151069518717,2000,0.7341040462427746,0.6290297220531548,0.8294151069518717,2000,0.14001221025365526,0.08374550711692043,0.20847011799379742,2000,
historical_clip,UACANet,full_tie_groups,A,0.901741,87,57,41,110057,11005,110057,11005,0.0999936396594492,0,True,86,53,116136,22842,104251,10957,86,0,63,63,23,6,0.10510210933228459,0.06562203304047934,0.1571163945414009,2000,0.8976630846593648,0.847763584458567,0.9378845486946781,2000,0.7325581395348837,0.6097560975609756,0.8395291568163907,2000,0.7325581395348837,0.6097560975609756,0.8395291568163907,2000,0.15324746600412587,0.08875369003529852,0.234644516066613,2000,
historical_clip,UACANet,full_tie_groups,B,0.874171,86,53,41,103660,10366,103660,10366,0.1,0,True,87,57,120600,21548,109504,10452,87,0,64,64,23,5,0.09544856808883694,0.05658160540242713,0.13931447563472885,2000,0.9079933665008292,0.86144939656491,0.9485857738077755,2000,0.735632183908046,0.625,0.8404376208897485,2000,0.735632183908046,0.625,0.8404376208897485,2000,0.1269290838796269,0.07386210858809127,0.18694606114021536,2000,
historical_clip,UACANet,full_tie_groups,both,,,,,,,,,,,,173,69,236736,44390,213755,21409,173,0,127,127,46,11,0.10015672148019929,0.06274019894942104,0.14744744186455375,2000,0.9029256217896728,0.8562961015564086,0.940178829637647,2000,0.7341040462427746,0.6290297220531548,0.8294151069518717,2000,0.7341040462427746,0.6290297220531548,0.8294151069518717,2000,0.14001221025365526,0.08374550711692043,0.20847011799379742,2000,
source_group,Combined,prefix,A,0.945352,88,35,0,221927,22192,221927,22192,0.09999684580965813,0,True,85,34,228784,52036,202631,25883,85,0,54,54,31,5,0.1277346506704305,0.07664351346183043,0.20165917798954858,2000,0.8856869361493811,0.8238023286205987,0.932031753145897,2000,0.6352941176470588,0.4624239864864865,0.7741935483870968,2000,0.6352941176470588,0.4624239864864865,0.7741935483870968,2000,0.1727377927818933,0.10246371884243015,0.26858222835522916,2000,
source_group,Combined,prefix,B,0.803233,85,34,0,196386,19638,196386,19638,0.09999694479239864,0,True,88,35,244688,44953,215969,16234,88,0,72,72,16,9,0.07516819543545601,0.038638369695126455,0.1275458068173966,2000,0.8826301248937423,0.7840922244492221,0.956079485585414,2000,0.8181818181818182,0.6666666666666666,0.9574543002697034,2000,0.8181818181818182,0.6666666666666666,0.9574543002697034,2000,0.12345049137012096,0.0414389666771096,0.23005032568267217,2000,
