model,allocation,tie_rule,score,budget,cutoff,global_cutoff_tie_size,global_cutoff_tie_retained,clips,source_groups,N,B,A,E,admitted_clips,zero_retained_clips,risk_pass_clips,joint_pass_clips,high_risk_clips,under_half_coverage_clips,pooled_risk,pooled_risk_ci_lower,pooled_risk_ci_upper,pooled_risk_bootstrap_valid,retention,retention_ci_lower,retention_ci_upper,retention_bootstrap_valid,joint_fraction,joint_fraction_ci_lower,joint_fraction_ci_upper,joint_fraction_bootstrap_valid,compliance_admitted,compliance_admitted_ci_lower,compliance_admitted_ci_upper,compliance_admitted_bootstrap_valid,mean_clip_risk,mean_clip_risk_ci_lower,mean_clip_risk_ci_upper,mean_clip_risk_bootstrap_valid
Combined,half_per_clip,sha256,entropy,203887,,,,86,53,232272,49141,203887,45195,86,0,53,53,33,0,0.22166690372608355,0.14400331957109547,0.31855711800419023,2000,0.8777941379072811,0.8315318076021111,0.9199366867006284,2000,0.6162790697674418,0.49424949290060854,0.7341772151898734,2000,0.6162790697674418,0.49424949290060854,0.7341772151898734,2000,0.22855302531565844,0.14836152867979097,0.3243127225415742,2000
Combined,half_per_clip,sha256,negative_area_fraction,203887,,,,86,53,232272,49141,203887,20756,86,0,64,64,22,0,0.10180148807918112,0.06219362926636859,0.1587347426800296,2000,0.8777941379072811,0.8275775191705881,0.918678970370193,2000,0.7441860465116279,0.6184099645180366,0.8518518518518519,2000,0.7441860465116279,0.6184099645180366,0.8518518518518519,2000,0.1492170280460388,0.08492550651848456,0.2343049405433845,2000
PraNet,global,identity,confidence_deficit,101943,0.957559,1,1,86,53,116136,26299,101943,12106,86,0,61,61,25,6,0.11875263627713527,0.07929620319054766,0.17151490504316358,2000,0.8777898326100434,0.814863710375376,0.9264856758366953,2000,0.7093023255813954,0.5810602268935602,0.8192951807228914,2000,0.7093023255813954,0.5810602268935602,0.8192951807228914,2000,0.18068690571426274,0.11026170632628368,0.27120229400589113,2000
PraNet,global,identity,entropy,101943,0.027066,2,1,86,53,116136,26299,101943,24294,86,0,52,50,34,4,0.23830964362437834,0.15661254042221692,0.34025546875407336,2000,0.8777898326100434,0.8154189757742448,0.9292189883618773,2000,0.5813953488372093,0.4470588235294118,0.7045454545454546,2000,0.6046511627906976,0.47776515151515153,0.7237080472921433,2000,0.24648276899959304,0.16616984740067722,0.34320067845618113,2000
PraNet,global,identity,negative_area_fraction,101943,-0.0,20250,6057,86,53,116136,26299,101943,12106,86,0,63,63,23,7,0.11875263627713527,0.05747112277299723,0.2070458662385643,2000,0.8777898326100434,0.8181461881142036,0.9248503590567437,2000,0.7325581395348837,0.6086681342872867,0.8461764705882352,2000,0.7325581395348837,0.6086681342872867,0.8461764705882352,2000,0.15547552077209592,0.08826441773378389,0.24564722352593213,2000
PraNet,global,sha256,confidence_deficit,101943,0.957559,1,1,86,53,116136,26299,101943,12106,86,0,61,61,25,6,0.11875263627713527,0.07929620319054766,0.17151490504316358,2000,0.8777898326100434,0.814863710375376,0.9264856758366953,2000,0.7093023255813954,0.5810602268935602,0.8192951807228914,2000,0.7093023255813954,0.5810602268935602,0.8192951807228914,2000,0.18068690571426274,0.11026170632628368,0.27120229400589113,2000
PraNet,global,sha256,entropy,101943,0.027066,2,1,86,53,116136,26299,101943,24294,86,0,52,50,34,4,0.23830964362437834,0.15661254042221692,0.34025546875407336,2000,0.8777898326100434,0.8154189757742448,0.9292189883618773,2000,0.5813953488372093,0.4470588235294118,0.7045454545454546,2000,0.6046511627906976,0.47776515151515153,0.7237080472921433,2000,0.24648276899959304,0.16616984740067722,0.34320067845618113,2000
PraNet,global,sha256,negative_area_fraction,101943,-0.0,20250,6057,86,53,116136,26299,101943,12106,86,0,61,61,25,7,0.11875263627713527,0.07878508549955916,0.17314026806368152,2000,0.8777898326100434,0.8200226519409886,0.922255485301702,2000,0.7093023255813954,0.5810602268935602,0.8192951807228914,2000,0.7093023255813954,0.5810602268935602,0.8192951807228914,2000,0.17682327348118101,0.1077410653973142,0.26728271365381573,2000
PraNet,half_per_clip,identity,confidence_deficit,101943,,,,86,53,116136,26299,101943,12106,86,0,64,64,22,0,0.11875263627713527,0.07490760607255985,0.1796828920153248,2000,0.8777898326100434,0.8286312805792744,0.9178696331790027,2000,0.7441860465116279,0.6153645833333333,0.8552671211160431,2000,0.7441860465116279,0.6153645833333333,0.8552671211160431,2000,0.16772235631441676,0.09816841541656365,0.2577147020015725,2000
PraNet,half_per_clip,identity,entropy,101943,,,,86,53,116136,26299,101943,24236,86,0,51,51,35,0,0.23774069823332647,0.15635678844318188,0.3385553213629493,2000,0.8777898326100434,0.828591184517082,0.9226560730907628,2000,0.5930232558139535,0.46511627906976744,0.7066767676767676,2000,0.5930232558139535,0.46511627906976744,0.7066767676767676,2000,0.24127697909454607,0.16062831815487183,0.34052728123970727,2000
PraNet,half_per_clip,identity,negative_area_fraction,101943,,,,86,53,116136,26299,101943,12106,86,0,68,68,18,0,0.11875263627713527,0.06372370110060685,0.19885294857738436,2000,0.8777898326100434,0.8344944022430502,0.9140164226208384,2000,0.7906976744186046,0.6741401054803944,0.8961038961038961,2000,0.7906976744186046,0.6741401054803944,0.8961038961038961,2000,0.1562818722004081,0.08570607936079791,0.24702090523175851,2000
