model,allocation,tie_rule,score,clip,source_group,N,B,A,E,risk,retention,risk_pass,coverage_pass,joint_pass,zero_retained,count_lower_bound
Combined,global,identity,negative_area_fraction,case6_3,case6,3360,3132,492,264,0.5365853658536586,0.14642857142857144,False,False,False,False,0.5365853658536586
Combined,global,identity,negative_area_fraction,case71_1,case71,2048,647,1597,196,0.12273011897307451,0.77978515625,True,True,True,False,0.12273011897307451
Combined,global,identity,negative_area_fraction,case71_5,case71,3616,89,3535,8,0.002263083451202263,0.9775995575221239,True,True,True,False,0.002263083451202263
Combined,global,identity,negative_area_fraction,case72_3,case72,1664,0,1664,0,0.0,1.0,True,True,True,False,0.0
Combined,global,identity,negative_area_fraction,case74_1,case74,2512,1111,1630,229,0.14049079754601226,0.6488853503184714,True,True,True,False,0.14049079754601226
Combined,global,identity,negative_area_fraction,case75_1,case75,2400,343,2103,46,0.021873514027579647,0.87625,True,True,True,False,0.021873514027579647
Combined,global,identity,negative_area_fraction,case7_2,case7,2096,98,2018,20,0.009910802775024777,0.9627862595419847,True,True,True,False,0.009910802775024777
Combined,global,identity,negative_area_fraction,case80_2,case80,2400,11,2393,4,0.001671541997492687,0.9970833333333333,True,True,True,False,0.001671541997492687
Combined,global,identity,negative_area_fraction,case80_4,case80,2400,0,2400,0,0.0,1.0,True,True,True,False,0.0
Combined,global,identity,negative_area_fraction,case80_6,case80,2400,0,2400,0,0.0,1.0,True,True,True,False,0.0
Combined,global,identity,negative_area_fraction,case80_8,case80,2320,6,2316,2,0.0008635578583765112,0.9982758620689656,True,True,True,False,0.0008635578583765112
Combined,global,identity,negative_area_fraction,case81_2,case81,4384,119,4274,9,0.0021057557323350493,0.9749087591240876,True,True,True,False,0.0021057557323350493
Combined,global,identity,negative_area_fraction,case83_3,case83,2144,0,2144,0,0.0,1.0,True,True,True,False,0.0
Combined,global,identity,negative_area_fraction,case85_7,case85,2400,1069,1488,157,0.10551075268817205,0.62,True,True,True,False,0.10551075268817205
Combined,global,identity,negative_area_fraction,case86_1,case86,2400,199,2214,13,0.005871725383920506,0.9225,True,True,True,False,0.005871725383920506
Combined,global,identity,negative_area_fraction,case89,case89,2384,264,2353,233,0.09902252443688908,0.986996644295302,True,True,True,False,0.09902252443688908
Combined,global,identity,negative_area_fraction,case8_2,case8,2256,6,2256,6,0.0026595744680851063,1.0,True,True,True,False,0.0026595744680851063
Combined,global,identity,negative_area_fraction,case90_1,case90,2400,42,2370,12,0.005063291139240506,0.9875,True,True,True,False,0.005063291139240506
Combined,global,identity,negative_area_fraction,case91_1,case91,2400,1462,1258,320,0.2543720190779014,0.5241666666666667,False,True,False,False,0.2543720190779014
Combined,global,identity,negative_area_fraction,case91_3,case91,2400,2218,424,242,0.5707547169811321,0.17666666666666667,False,False,False,False,0.5707547169811321
Combined,global,identity,negative_area_fraction,case91_5,case91,2400,1060,1735,395,0.2276657060518732,0.7229166666666667,False,True,False,False,0.2276657060518732
Combined,global,identity,negative_area_fraction,case91_7,case91,3744,370,3481,107,0.030738293593794888,0.9297542735042735,True,True,True,False,0.030738293593794888
Combined,global,identity,negative_area_fraction,case93_2,case93,3760,379,3481,100,0.028727377190462512,0.9257978723404255,True,True,True,False,0.028727377190462512
Combined,global,identity,negative_area_fraction,case95_1,case95,4144,999,3536,391,0.11057692307692307,0.8532818532818532,True,True,True,False,0.11057692307692307
Combined,global,identity,negative_area_fraction,case95_3,case95,2400,2378,99,77,0.7777777777777778,0.04125,False,False,False,False,0.7777777777777778
Combined,global,identity,negative_area_fraction,case96_1,case96,1840,1220,738,118,0.15989159891598917,0.40108695652173915,False,False,False,False,0.15989159891598917
