scheme,model,scan_rule,direction,tau,clip,source_group,N,B,A,E,risk,retention,risk_pass,coverage_pass,joint_pass,zero_retained,count_lower_bound
historical_clip,Combined,full_tie_groups,A,0.899815,case8_2,case8,2256,6,2256,6,0.0026595744680851063,1.0,True,True,True,False,0.0026595744680851063
historical_clip,Combined,full_tie_groups,A,0.899815,case90_1,case90,2400,42,2375,17,0.007157894736842105,0.9895833333333334,True,True,True,False,0.007157894736842105
historical_clip,Combined,full_tie_groups,A,0.899815,case91_1,case91,2400,1462,1524,586,0.38451443569553806,0.635,False,True,False,False,0.38451443569553806
historical_clip,Combined,full_tie_groups,A,0.899815,case91_3,case91,2400,2218,859,677,0.7881257275902211,0.35791666666666666,False,False,False,False,0.7881257275902211
historical_clip,Combined,full_tie_groups,A,0.899815,case91_5,case91,2400,1060,1940,600,0.30927835051546393,0.8083333333333333,False,True,False,False,0.30927835051546393
historical_clip,Combined,full_tie_groups,A,0.899815,case91_7,case91,3744,370,3577,203,0.05675146771037182,0.9553952991452992,True,True,True,False,0.05675146771037182
historical_clip,Combined,full_tie_groups,A,0.899815,case93_2,case93,3760,379,3534,153,0.0432937181663837,0.9398936170212766,True,True,True,False,0.0432937181663837
historical_clip,Combined,full_tie_groups,A,0.899815,case95_1,case95,4144,999,3695,550,0.14884979702300405,0.8916505791505791,True,True,True,False,0.14884979702300405
historical_clip,Combined,full_tie_groups,A,0.899815,case95_3,case95,2400,2378,217,195,0.8986175115207373,0.09041666666666667,False,False,False,False,0.8986175115207373
historical_clip,Combined,full_tie_groups,A,0.899815,case96_1,case96,1840,1220,891,271,0.3041526374859708,0.4842391304347826,False,False,False,False,0.3041526374859708
historical_clip,Combined,full_tie_groups,A,0.899815,case97_1,case97,2400,2125,1100,825,0.75,0.4583333333333333,False,False,False,False,0.75
historical_clip,Combined,full_tie_groups,A,0.899815,case97_3,case97,2032,837,1695,500,0.2949852507374631,0.8341535433070866,False,True,False,False,0.2949852507374631
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case100,case100,3008,133,2978,103,0.03458697112155809,0.9900265957446809,True,True,True,False,0.03458697112155809
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case10_2,case10,3568,992,3466,890,0.2567801500288517,0.9714125560538116,False,True,False,False,0.2567801500288517
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case12_1,case12,2944,223,2830,109,0.03851590106007067,0.9612771739130435,True,True,True,False,0.03851590106007067
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case12_3,case12,1696,0,1696,0,0.0,1.0,True,True,True,False,0.0
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case13_2,case13,3280,123,3223,66,0.020477815699658702,0.9826219512195122,True,True,True,False,0.020477815699658702
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case14_1,case14,2400,2346,703,649,0.9231863442389758,0.29291666666666666,False,False,False,False,0.9231863442389758
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case14_3,case14,6048,5392,2088,1432,0.685823754789272,0.34523809523809523,False,False,False,False,0.685823754789272
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case14_5,case14,2560,2219,1417,1076,0.7593507410021172,0.553515625,False,True,False,False,0.7593507410021172
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case19,case19,1536,1523,193,180,0.9326424870466321,0.12565104166666666,False,False,False,False,0.9326424870466321
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case20_6,case20,2400,1028,1801,429,0.23820099944475293,0.7504166666666666,False,True,False,False,0.23820099944475293
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case20_8,case20,3728,1954,2519,745,0.29575228265184594,0.6756974248927039,False,True,False,False,0.29575228265184594
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case23,case23,2912,751,2600,439,0.16884615384615384,0.8928571428571429,False,True,False,False,0.16884615384615384
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case24_2,case24,2400,0,2400,0,0.0,1.0,True,True,True,False,0.0
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case24_4,case24,2400,74,2393,67,0.027998328458002507,0.9970833333333333,True,True,True,False,0.027998328458002507
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case24_6,case24,3536,411,3377,252,0.07462244595795084,0.9550339366515838,True,True,True,False,0.07462244595795084
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case27,case27,3984,781,3498,295,0.08433390508862207,0.8780120481927711,True,True,True,False,0.08433390508862207
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case29_2,case29,2608,48,2593,33,0.012726571538758195,0.9942484662576687,True,True,True,False,0.012726571538758195
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case2_5,case2,2736,51,2728,43,0.015762463343108504,0.9970760233918129,True,True,True,False,0.015762463343108504
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case2_8,case2,2896,102,2851,57,0.01999298491757278,0.9844613259668509,True,True,True,False,0.01999298491757278
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case30,case30,3584,140,3516,72,0.020477815699658702,0.9810267857142857,True,True,True,False,0.020477815699658702
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case32_1,case32,3360,85,3333,58,0.0174017401740174,0.9919642857142857,True,True,True,False,0.0174017401740174
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case32_3,case32,2640,480,2463,303,0.12302070645554203,0.9329545454545455,True,True,True,False,0.12302070645554203
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case32_5,case32,2400,25,2388,13,0.005443886097152429,0.995,True,True,True,False,0.005443886097152429
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case34_1,case34,1936,549,1708,321,0.1879391100702576,0.8822314049586777,False,True,False,False,0.1879391100702576
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case35_1,case35,2960,12,2960,12,0.004054054054054054,1.0,True,True,True,False,0.004054054054054054
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case35_3,case35,3088,446,3063,421,0.1374469474371531,0.9919041450777202,True,True,True,False,0.1374469474371531
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case36_1,case36,5344,3350,3997,2003,0.5011258443832874,0.7479416167664671,False,True,False,False,0.5011258443832874
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,case36_3,case36,3248,1704,2438,894,0.3666940114848236,0.750615763546798,False,True,False,False,0.3666940114848236
