model_group,clip_id,total_observations,failures_before,retained_observations,retained_failures,minimum_risk_at_same_clip_retention,rejected_failures,rejected_observations,in_reference_failure_set
PraNet,case68_5,1200,29,1198,27,0.022537562604340568,2,2,False
PraNet,case68_7,1840,510,1560,230,0.14743589743589744,280,280,False
PraNet,case6_3,1680,1668,171,159,0.9298245614035088,1509,1509,True
PraNet,case71_1,1024,418,781,175,0.22407170294494239,243,243,False
PraNet,case71_5,1808,56,1769,17,0.009609949123798756,39,39,False
PraNet,case72_3,832,0,832,0,0.0,0,0,False
PraNet,case74_1,1256,617,802,163,0.20324189526184538,454,454,False
PraNet,case75_1,1200,256,1005,61,0.06069651741293532,195,195,False
PraNet,case7_2,1048,58,1013,23,0.022704837117472853,35,35,False
PraNet,case80_2,1200,11,1194,5,0.0041876046901172526,6,6,False
PraNet,case80_4,1200,0,1200,0,0.0,0,0,False
PraNet,case80_6,1200,0,1200,0,0.0,0,0,False
PraNet,case80_8,1160,6,1157,3,0.0025929127052722557,3,3,False
PraNet,case81_2,2192,62,2140,10,0.004672897196261682,52,52,False
PraNet,case83_3,1072,0,1072,0,0.0,0,0,False
PraNet,case85_7,1200,547,870,217,0.24942528735632183,330,330,False
PraNet,case86_1,1200,170,1060,30,0.02830188679245283,140,140,False
PraNet,case89,1192,112,1182,102,0.08629441624365482,10,10,False
PraNet,case8_2,1128,0,1128,0,0.0,0,0,False
PraNet,case90_1,1200,42,1174,16,0.013628620102214651,26,26,False
PraNet,case91_1,1200,831,586,217,0.3703071672354949,614,614,True
PraNet,case91_3,1200,1148,278,226,0.8129496402877698,922,922,True
PraNet,case91_5,1200,401,1077,278,0.25812441968430827,123,123,False
PraNet,case91_7,1872,216,1773,117,0.06598984771573604,99,99,False
PraNet,case93_2,1880,196,1750,66,0.037714285714285714,130,130,False
PraNet,case95_1,2072,607,1746,281,0.1609392898052692,326,326,False
PraNet,case95_3,1200,1200,27,27,1.0,1173,1173,True
PraNet,case96_1,920,629,416,125,0.3004807692307692,504,504,True
PraNet,case97_1,1200,1050,453,303,0.6688741721854304,747,747,True
PraNet,case97_3,1016,454,774,212,0.2739018087855297,242,242,False
Combined,case10_1,3408,1357,2741,690,0.2517329441809559,667,667,False
Combined,case11,1808,69,1768,29,0.016402714932126698,40,40,False
Combined,case12_2,3968,869,3439,340,0.09886594940389648,529,529,False
Combined,case13_1,1568,219,1547,198,0.1279896574014221,21,21,False
Combined,case13_3,2816,34,2810,28,0.0099644128113879,6,6,False
Combined,case14_2,2400,2376,752,728,0.9680851063829787,1648,1648,True
Combined,case14_4,2320,2114,1235,1029,0.8331983805668016,1085,1085,True
Combined,case14_6,3200,3098,990,888,0.896969696969697,2210,2210,True
Combined,case1_2,3456,3,3453,0,0.0,3,3,False
Combined,case20_7,2720,940,2275,495,0.2175824175824176,445,445,False
Combined,case20_9,2400,610,2020,230,0.11386138613861387,380,380,False
Combined,case24_1,2400,178,2377,155,0.06520824568784182,23,23,False
Combined,case24_3,2432,0,2432,0,0.0,0,0,False
Combined,case24_5,2400,55,2385,40,0.016771488469601678,15,15,False
Combined,case25_2,2176,101,2148,73,0.03398510242085661,28,28,False
Combined,case29_1,3424,463,3214,253,0.07871810827629122,210,210,False
Combined,case2_3,2400,0,2400,0,0.0,0,0,False
Combined,case2_6,1584,0,1584,0,0.0,0,0,False
Combined,case2_9,1792,0,1792,0,0.0,0,0,False
Combined,case31,2928,58,2925,55,0.018803418803418803,3,3,False
Combined,case32_2,1600,7,1600,7,0.004375,0,0,False
Combined,case32_4,2960,459,2762,261,0.0944967414916727,198,198,False
Combined,case32_6,2736,36,2726,26,0.009537784299339692,10,10,False
Combined,case34_2,1984,26,1982,24,0.012108980827447022,2,2,False
Combined,case35_2,1440,0,1440,0,0.0,0,0,False
Combined,case35_8,1856,369,1839,352,0.1914083741163676,17,17,False
Combined,case36_2,2400,1799,1708,1107,0.6481264637002342,692,692,True
Combined,case36_4,2048,1964,1274,1190,0.9340659340659341,774,774,True
Combined,case37_2,2544,213,2468,137,0.05551053484602917,76,76,False
Combined,case38_2,4064,1552,3347,835,0.24947714371078578,717,717,False
Combined,case39_2,4320,517,4152,349,0.08405587668593449,168,168,False
Combined,case3_1,3168,314,3017,163,0.054027179317202516,151,151,False
Combined,case40,2544,643,2160,259,0.11990740740740741,384,384,False
Combined,case43,4160,269,3958,67,0.016927741283476502,202,202,False
Combined,case47_2,2400,118,2349,67,0.02852277564921243,51,51,False
Combined,case47_4,2128,0,2128,0,0.0,0,0,False
Combined,case48,2816,649,2445,278,0.11370143149284254,371,371,False
Combined,case50_2,2400,14,2398,12,0.0050041701417848205,2,2,False
Combined,case50_4,3792,273,3692,173,0.04685807150595883,100,100,False
Combined,case51_10,3488,64,3483,59,0.016939420040195233,5,5,False
Combined,case51_3,3360,302,3214,156,0.04853764779091475,146,146,False
Combined,case51_5,2400,221,2277,98,0.043039086517347384,123,123,False
Combined,case51_7,2144,560,1694,110,0.06493506493506493,450,450,False
Combined,case51_9,2400,617,2287,504,0.22037603847835593,113,113,False
Combined,case54_1,3376,1710,2056,390,0.18968871595330739,1320,1320,True
Combined,case56_1,2400,126,2351,77,0.0327520204168439,49,49,False
Combined,case5_4,2400,19,2395,14,0.005845511482254697,5,5,False
Combined,case60,2336,1658,1575,897,0.5695238095238095,761,761,True
Combined,case61_3,3536,203,3468,135,0.03892733564013841,68,68,False
Combined,case63_3,2768,68,2747,47,0.017109574080815437,21,21,False
Combined,case66_2,5168,18,5165,15,0.002904162633107454,3,3,False
Combined,case66_4,3776,0,3776,0,0.0,0,0,False
Combined,case66_6,2144,0,2144,0,0.0,0,0,False
Combined,case66_9,3200,8,3195,3,0.0009389671361502347,5,5,False
Combined,case68_1,2624,238,2562,176,0.06869633099141297,62,62,False
Combined,case68_3,2608,584,2369,345,0.14563106796116504,239,239,False
Combined,case68_5,2400,109,2377,86,0.0361800588977703,23,23,False
Combined,case68_7,3680,686,3348,354,0.1057347670250896,332,332,False
Combined,case6_3,3360,3132,856,628,0.7336448598130841,2504,2504,True
Combined,case71_1,2048,647,1698,297,0.17491166077738515,350,350,False
Combined,case71_5,3616,89,3553,26,0.007317759639741064,63,63,False
Combined,case72_3,1664,0,1664,0,0.0,0,0,False
Combined,case74_1,2512,1111,1796,395,0.21993318485523386,716,716,False
Combined,case75_1,2400,343,2150,93,0.04325581395348837,250,250,False
Combined,case7_2,2096,98,2039,41,0.020107896027464444,57,57,False
Combined,case80_2,2400,11,2394,5,0.0020885547201336674,6,6,False
Combined,case80_4,2400,0,2400,0,0.0,0,0,False
Combined,case80_6,2400,0,2400,0,0.0,0,0,False
Combined,case80_8,2320,6,2317,3,0.001294777729823047,3,3,False
Combined,case81_2,4384,119,4291,26,0.006059193661151247,93,93,False
Combined,case83_3,2144,0,2144,0,0.0,0,0,False
Combined,case85_7,2400,1069,1701,370,0.2175191064079953,699,699,False
Combined,case86_1,2400,199,2236,35,0.015652951699463326,164,164,False
Combined,case89,2384,264,2370,250,0.10548523206751055,14,14,False
Combined,case8_2,2256,6,2256,6,0.0026595744680851063,0,0,False
Combined,case90_1,2400,42,2375,17,0.007157894736842105,25,25,False
Combined,case91_1,2400,1462,1524,586,0.38451443569553806,876,876,True
Combined,case91_3,2400,2218,859,677,0.7881257275902211,1541,1541,True
Combined,case91_5,2400,1060,1940,600,0.30927835051546393,460,460,False
Combined,case91_7,3744,370,3577,203,0.05675146771037182,167,167,False
Combined,case93_2,3760,379,3534,153,0.0432937181663837,226,226,False
Combined,case95_1,4144,999,3695,550,0.14884979702300405,449,449,False
Combined,case95_3,2400,2378,217,195,0.8986175115207373,2183,2183,True
Combined,case96_1,1840,1220,891,271,0.3041526374859708,949,949,True
Combined,case97_1,2400,2125,1100,825,0.75,1300,1300,True
Combined,case97_3,2032,837,1695,500,0.2949852507374631,337,337,False
